dist,GT,highRes,ShighRes,Fmean,Fmedian,FSCmean,FSCmedian,FSCpam,FSCkml,RWGPS,SFmean,SFmedian,SFSCmean,SFSCmedian,SFSCpam,SFSCkml
979,24.23672383,24.39,24.43081215,21.08953368,23.28273033,23.95749619,26.32231166,26.48149025,23.98661908,20.4,21.0801309,23.30712105,23.95213519,26.2941165,26.47637631,23.99678731
980,24.20400702,24.3625,24.40465275,21.07496508,23.24110238,23.94659821,26.28763636,26.4587043,23.97217296,20.6,21.07406902,23.29825535,23.94136756,26.27665908,26.4538782,23.98528025
981,24.1712902,24.335,24.37858265,21.06095782,23.23128698,23.93597919,26.25279596,26.43591843,23.96489051,20.8,21.0681519,23.2896363,23.93090132,26.25941795,26.4313997,23.97405806
982,24.13857339,24.3075,24.35260283,21.04625198,23.26072063,23.92564124,26.21778903,26.41313265,23.94702646,20.9,21.0623803,23.28126529,23.9207391,26.242395,26.40894108,23.9631234
983,24.10585657,24.28,24.32671428,21.0317143,23.18385832,23.91558645,26.18261412,26.39034696,23.94231792,21.1,21.05675499,23.27314368,23.91088351,26.22559211,26.38650262,23.95247892
984,24.07313976,24.2525,24.30091799,21.01682823,23.16997747,23.90581693,26.14726977,26.36756136,23.93358731,21.3,21.05127674,23.26527285,23.90133717,26.20901118,26.36408458,23.94212726
985,24.04042294,24.225,24.27521493,21.00854432,23.19522406,23.89633477,26.11175456,26.34477585,23.92090128,21.5,21.04594633,23.25765417,23.89210269,26.19265407,26.34168723,23.93207109
986,24.00770613,24.1975,24.24960609,21.0021604,23.17329707,23.88714208,26.11750615,26.32199044,23.90954704,21.7,21.04076451,23.25028901,23.88318269,26.17652269,26.31931085,23.92231306
987,23.97498931,24.17,24.22409245,20.97723415,23.0788303,23.87824096,26.17344472,26.29920511,23.90584618,21.9,21.03573207,23.24317875,23.87457979,26.16061891,26.29695571,23.91285582
988,23.9422725,24.1425,24.19867501,20.96564966,23.06620099,23.8696335,26.14445533,26.27641989,23.89811504,22.1,21.03084977,23.23632477,23.8662966,26.14494462,26.27462206,23.90370202
989,23.90955568,24.115,24.17335475,20.94137111,23.06537153,23.86132181,26.11539998,26.25363475,23.88563945,22.3,21.02611838,23.22972843,23.85833575,26.1295017,26.25231019,23.89485433
990,23.88416909,24.0975,24.14813264,20.94600143,23.12030803,23.85330799,26.08627826,26.23084972,23.87987966,22.4,21.02153867,23.22339112,23.85069985,26.11429205,26.23002037,23.88631538
991,23.85878249,24.08,24.12300968,20.93526707,23.10245633,23.84559413,26.05708978,26.20806478,23.87409698,22.6,21.01711141,23.21731419,23.84339152,26.09931754,26.20775286,23.87808784
992,23.8333959,24.0625,24.09798684,20.94734654,23.11538841,23.83818234,26.0462246,26.18527993,23.869398,22.8,21.01283737,23.21149904,23.83641337,26.08458006,26.18550794,23.87017435
993,23.8080093,24.045,24.07306513,20.94119738,23.15674598,23.83107472,26.09308154,26.16249519,23.86504041,23,21.00871732,23.20594703,23.82976802,26.07008149,26.16328587,23.86257758
994,23.78262271,24.0275,24.04824551,20.93562465,23.162441,23.82427336,26.09132991,26.13971055,23.85385766,23.2,21.00475203,23.20065953,23.82345809,26.05582373,26.14108693,23.85530018
995,23.75723611,24.01,24.02352897,20.92425821,23.1680054,23.81778037,26.08008752,26.11692601,23.84884554,23.4,21.00094227,23.19563792,23.8174862,26.04180866,26.11891139,23.84834479
996,23.73184952,23.9925,23.9989165,20.93489075,23.16223395,23.81159785,26.06895442,26.09414157,23.84424453,23.6,20.99728881,23.19088358,23.81185496,26.02803816,26.09675951,23.84171407
997,23.70646292,23.975,23.97440909,20.93117043,23.13314164,23.8057279,26.05989791,26.07135724,23.84222651,23.8,20.99379242,23.18639787,23.80656699,26.01451411,26.07463157,23.83541069
998,23.68107633,23.9575,23.95000771,20.92933883,23.14071745,23.80017261,26.04701159,26.04857301,23.83558589,24,20.99045387,23.18218218,23.8016249,26.00123841,26.05252783,23.82943728
999,23.65568973,23.94,23.92571336,20.92831761,23.14722169,23.7949341,26.0361996,26.02578888,23.83118923,24.1,20.98727393,23.17823787,23.79703132,25.98821293,26.03044858,23.8237965
1000,23.64315989,23.922,23.90152701,20.91437541,23.11048466,23.79001445,26.02549238,26.00300487,23.82601829,24.3,20.98425337,23.17456631,23.79278887,25.97543957,26.00839407,23.81849101
1001,23.63063005,23.904,23.87744965,20.91080573,23.07374757,23.78541577,25.99438984,25.98022096,23.82050907,24.5,20.98139296,23.17116889,23.78890015,25.9629202,25.98636457,23.81352345
1002,23.61810021,23.886,23.85348227,20.90613142,23.03701048,23.78114016,25.95171548,25.95743715,23.81867637,24.7,20.97869346,23.16804698,23.78536779,25.95065672,25.96436037,23.8088965
1003,23.60557037,23.868,23.82962585,20.94027849,23.01699369,23.77718972,25.91133355,25.93465346,23.81697554,24.9,20.97615566,23.16520194,23.7821944,25.93865101,25.94238172,23.80461278
1004,23.59304053,23.85,23.80588137,20.89941949,23.02548182,23.77356655,25.89301036,25.91186988,23.81338656,25.1,20.97378031,23.16263516,23.77938261,25.92690496,25.9204289,23.80067497
1005,23.58051068,23.832,23.78224983,20.90164791,23.04338266,23.77027275,25.87475548,25.88908641,23.81213336,25.2,20.97156819,23.16034801,23.77693502,25.91542044,25.89850218,23.79708571
1006,23.56798084,23.814,23.7587322,20.88186072,23.05861757,23.76731041,25.85656906,25.86630306,23.81131814,25.4,20.96952007,23.15834186,23.77485425,25.90419935,25.87660183,23.79384766
1007,23.555451,23.796,23.73532947,20.88630207,23.05976221,23.76468165,25.84841657,25.84351981,23.80823638,25.6,20.96763671,23.15661808,23.77314293,25.89324356,25.85472812,23.79096347
1008,23.54292116,23.778,23.71204262,20.87958108,23.05020048,23.76238856,25.90409345,25.82073669,23.80726578,25.8,20.9659189,23.15517805,23.77180367,25.88255498,25.83288132,23.78843579
