x,y,zhighRes
490081.2143,5458100.282,31.88
490082.1107,5458100.726,31.87
490083.007,5458101.169,31.86
490083.9033,5458101.613,31.85
490084.7997,5458102.056,31.84
490085.696,5458102.499,31.83
490086.5923,5458102.943,31.82
490087.4887,5458103.386,31.81
490088.385,5458103.829,31.8
490089.2813,5458104.273,31.79
490090.1777,5458104.716,31.758
490091.074,5458105.16,31.726
490091.9703,5458105.603,31.694
490092.8667,5458106.046,31.662
490093.763,5458106.49,31.63
490094.6593,5458106.933,31.598
490095.5557,5458107.377,31.566
490096.452,5458107.82,31.534
490097.3483,5458108.263,31.502
490098.2447,5458108.707,31.47
490099.141,5458109.15,31.4445
490100.0373,5458109.593,31.419
490100.9337,5458110.037,31.3935
490101.83,5458110.48,31.368
490102.7263,5458110.924,31.3425
490103.6227,5458111.367,31.317
490104.519,5458111.81,31.2915
490105.4153,5458112.254,31.266
490106.3117,5458112.697,31.2405
490107.208,5458113.14,31.215
490108.1043,5458113.584,31.1895
490109.0007,5458114.027,31.164
490109.897,5458114.471,31.1385
490110.7933,5458114.914,31.113
490111.6897,5458115.357,31.0875
490112.586,5458115.801,31.062
490113.4823,5458116.244,31.0365
490114.3787,5458116.688,31.011
490115.275,5458117.131,30.9855
490116.1713,5458117.574,30.96
490117.0677,5458118.018,30.926
490117.964,5458118.461,30.892
490118.8603,5458118.904,30.858
490119.7567,5458119.348,30.824
490120.653,5458119.791,30.79
490121.5493,5458120.235,30.756
490122.4457,5458120.678,30.722
490123.342,5458121.121,30.688
490124.2383,5458121.565,30.654
490125.1347,5458122.008,30.62
490126.031,5458122.451,30.5915
490126.9273,5458122.895,30.563
490127.8237,5458123.338,30.5345
490128.72,5458123.782,30.506
490129.6163,5458124.225,30.4775
490130.5127,5458124.668,30.449
490131.409,5458125.112,30.4205
490132.3053,5458125.555,30.392
490133.2017,5458125.999,30.3635
490134.098,5458126.442,30.335
490134.9943,5458126.885,30.2935
490135.8907,5458127.329,30.252
490136.787,5458127.772,30.2105
490137.6833,5458128.215,30.169
490138.5797,5458128.659,30.1275
490139.476,5458129.102,30.086
490140.3723,5458129.546,30.0445
490141.2687,5458129.989,30.003
490142.165,5458130.432,29.9615
490143.0613,5458130.876,29.92
490143.9577,5458131.319,29.902
490144.854,5458131.763,29.884
490145.7503,5458132.206,29.866
490146.6467,5458132.649,29.848
490147.543,5458133.093,29.83
490148.4393,5458133.536,29.812
490149.3357,5458133.979,29.794
490150.232,5458134.423,29.776
490151.1283,5458134.866,29.758
490152.0247,5458135.31,29.74
490152.921,5458135.753,29.703
490153.8173,5458136.196,29.666
490154.7137,5458136.64,29.629
490155.61,5458137.083,29.592
490156.5063,5458137.526,29.555
490157.4027,5458137.97,29.518
490158.299,5458138.413,29.481
490159.1953,5458138.857,29.444
490160.0917,5458139.3,29.407
490160.988,5458139.743,29.37
490161.8843,5458140.187,29.34
490162.7807,5458140.63,29.31
490163.677,5458141.074,29.28
490164.5733,5458141.517,29.25
490165.4697,5458141.96,29.22
490166.366,5458142.404,29.19
490167.2623,5458142.847,29.16
490168.1587,5458143.29,29.13
490169.055,5458143.734,29.1
490169.9513,5458144.177,29.07
490170.8477,5458144.621,29.047
490171.744,5458145.064,29.024
490172.6403,5458145.507,29.001
490173.5367,5458145.951,28.978
490174.433,5458146.394,28.955
490175.3293,5458146.837,28.932
490176.2257,5458147.281,28.909
490177.122,5458147.724,28.886
490178.0183,5458148.168,28.863
490178.9147,5458148.611,28.84
490179.811,5458149.054,28.8085
490180.7073,5458149.498,28.777
490181.6037,5458149.941,28.7455
490182.5,5458150.385,28.714
490183.3963,5458150.828,28.6825
490184.2927,5458151.271,28.651
490185.189,5458151.715,28.6195
490186.0853,5458152.158,28.588
490186.9817,5458152.601,28.5565
490187.878,5458153.045,28.525
490188.7743,5458153.488,28.4935
490189.6707,5458153.932,28.462
490190.567,5458154.375,28.4305
490191.4633,5458154.818,28.399
490192.3597,5458155.262,28.3675
490193.256,5458155.705,28.336
490194.1523,5458156.148,28.3045
490195.0487,5458156.592,28.273
490195.945,5458157.035,28.2415
490196.8413,5458157.479,28.21
490197.7377,5458157.922,28.175
490198.634,5458158.365,28.14
490199.5303,5458158.809,28.105
490200.4266,5458159.252,28.07
490201.323,5458159.696,28.035
490202.2193,5458160.139,28
490203.1156,5458160.582,27.965
490204.012,5458161.026,27.93
490204.9083,5458161.469,27.895
490205.8046,5458161.912,27.86
490206.701,5458162.356,27.831
490207.5973,5458162.799,27.802
490208.4936,5458163.243,27.773
490209.39,5458163.686,27.744
490210.2863,5458164.129,27.715
490211.1826,5458164.573,27.686
490212.079,5458165.016,27.657
490212.9753,5458165.459,27.628
490213.8716,5458165.903,27.599
490214.768,5458166.346,27.57
490215.6643,5458166.79,27.55
490216.5606,5458167.233,27.53
490217.457,5458167.676,27.51
